# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
Terzan_8       	  14.65	  15.90	  17.49	  39.78	  45.87	  56.28	    878	   1114	   1531	   4345	   4784	   5132	    403	    639	    938	 -96247	 -90393	 -82537
Pal_11         	   3.31	   4.10	   4.98	   7.77	   8.35	   8.86	     81	    107	    130	    186	    196	    207	    890	   1065	   1242	-173701	-168407	-163268
NGC_6838_M_71  	   4.90	   5.06	   5.25	   7.10	   7.20	   7.28	     27	     31	     34	     14	     15	     17	   1320	   1354	   1391	-172670	-171660	-170520
NGC_6864_M_75  	   0.46	   1.05	   1.72	  15.71	  17.00	  17.84	   1038	   1090	   1127	    318	    345	    408	    108	    340	    509	-146917	-142687	-140130
NGC_6934       	   1.90	   2.52	   3.59	  35.12	  40.84	  49.28	   2508	   2791	   3277	    149	    168	    196	    838	   1184	   1605	-109152	-102087	 -93511
NGC_6981_M_72  	   0.30	   0.49	   0.74	  21.28	  23.28	  24.87	   1593	   1870	   1972	    317	    326	    348	   -161	     18	    185	-132700	-128466	-125268
NGC_7006       	   1.89	   3.13	   4.30	  50.99	  53.81	  56.08	   3281	   3636	   4049	    217	    445	    826	  -1580	  -1089	   -573	 -92157	 -89973	 -88217
NGC_7078_M_15  	   3.44	   3.76	   4.04	  10.19	  10.62	  10.87	    241	    251	    264	    202	    225	    243	   1005	   1073	   1135	-162630	-160008	-158329
NGC_7089_M_2   	   0.48	   0.62	   1.05	  18.00	  18.89	  19.90	   1316	   1351	   1390	    310	    334	    379	   -299	   -192	   -103	-140922	-138347	-135788
NGC_7099_M_30  	   1.26	   1.36	   1.44	   8.06	   8.40	   8.79	    260	    280	    306	    492	    499	    506	   -278	   -260	   -236	-175755	-173901	-171979
Pal_12         	  14.78	  15.55	  16.54	  45.28	  55.48	  72.32	   1169	   1723	   2640	   3133	   3442	   3794	   1947	   2124	   2422	 -91386	 -83943	 -74269
Pal_13         	   7.75	   8.85	   9.76	  60.23	  65.90	  71.63	   3142	   3361	   3631	   1868	   2048	   2283	  -2180	  -1796	  -1354	 -83861	 -80033	 -76604
NGC_7492       	   2.92	   4.02	   5.56	  27.39	  28.41	  29.98	   1305	   1448	   1597	   1284	   1722	   2211	   -224	   -128	    -44	-119409	-117271	-113863
